,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
110,1.755 GHz,GeForce RTX 2080 Ti,Black,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"327 mm / 12.874""",MSI,11 GB,GDDR6,,,,RTX 2080 TI GAMING X TRIO / GEFORCE RTX 2080 TI GAMING X TRIO,,True,,True,250 W,,,1
111,1.531 GHz,Quadro P6000,Black / Green,1.417 GHz,False,1,,,4,True,,PCI-Express x16,,PNY,24 GB,GDDR5X,,,,VCQP6000-PB,,True,,,250 W,,,
112,1.86 GHz,GeForce GTX 1660 Ti,Black / Gray,1.5 GHz,False,,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",Gigabyte,6 GB,GDDR6,,,,GV-N166TGAMING OC-6GD,,False,,True,120 W,,,
113,1.545 GHz,GeForce RTX 2080 Ti,Black / Silver,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Zotac,11 GB,GDDR6,,,,ZT-T20810A-10P,,True,,True,250 W,,,1
114,1.392 GHz,GeForce GTX 1050 Ti,Black / White,1.29 GHz,False,1,,,1,True,1,PCI-Express x16,"192 mm / 7.559""",Asus,4 GB,GDDR5,,,,PH-GTX1050TI-4G / 90YV0A70-M0NA00,,False,,True,75 W,,,
115,1.425 GHz,Radeon RX 580,Black / Red,1.405 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"270 mm / 10.63""",XFX,8 GB,GDDR5,,,,RX-580P8DBD6,,False,True,,185 W,,,
116,1.56 GHz,GeForce RTX 2080 Ti,Black / White,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Asus,11 GB,GDDR6,,,,DUAL-RTX2080TI-11G,,True,,True,250 W,,,1
117,1.279 GHz,GeForce GTX 960,Black / Silver,1.216 GHz,False,1,,1,1,True,1,PCI-Express x16,"173 mm / 6.811""",EVGA,4 GB,GDDR5,,,,04G-P4-1962-KR,,True,,True,120 W,,,
118,1.58 GHz,Radeon RX VEGA 64,Black / Silver,1.373 GHz,4-way CrossFire,,,,2,True,2,PCI-Express x16,"310 mm / 12.205""",Sapphire,8 GB,HBM2,,,,11275-03-40G / 100410NT+SR,,False,True,,240 W,,,
119,915 MHz,GeForce GTX Titan Z,Black / Silver,732 MHz,False,1,,1,1,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,12 GB,GDDR5,,,,12G-P4-3992-KR,,True,,True,375 W,,,
